"Pilot Name","First Name","Rank","Victories","Jagdgeschwader","Remarks","Awards","References"
"ENGEL","Walter","Hptm."," 10","4(F)/14, KG3, NJG 5","266 ff - 159 Fernaufklärer, 80 w/KG 3, 27 NF.","RK","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.107; Aders, History of the German Night Fighter Force 1917-1945"
"Engel","Wilhelm","Oblt."," 21","NJG 1, NJG 4, NJG 6",,"DK?","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Engelbrecht","Hans","Fw.","  8","JG 2","KIA on 25.Jun.44 in Luftkampf with P-38s.",,"O.K.L. Fighter Claims"
"Engelhardt","Werner","Uffz.","  9","JG 77",,,"Pprien/Bock; rien, JG 77, IV"
"ENGFER","Siegfried","Oblt."," 59","JG 3","348 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Prien, III./JG 3; Obermaier, p.108"
"Engleder","Rudolf","Hptm."," 25","JG 1, JG 7","10 Viermots in 15 days. Maybe 26.",,"O.K.L. Fighter Claims; Prien & Rodeike, JG 1 & 11, II; Foreman/Harvey, Me262 Combat Diary"
"Engler","Günther","Uffz.","  8~","JG 3, JG 7","Surrendered aircraft on 8.May.45. 3 w/262.",,"O.K.L. Fighter Claims; Boehme, JG7; Foreman/Harvey, Me262 Combat Diary"
"Engling","Egon","Fw."," 12","NJG 2, NJG 3","KIA 26.Mar.45. Only 10 listed.",,"O.K.L. Fighter Claims; LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945"
"Englisch","Iring","Oblt.","  9","JG 77","Stkp. KIA on 24.Dec.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien, JG 77, IV"
"Engst","Hubert","Fw."," 15~","JG 300",,,"O.K.L. Fighter Claims; Barbas, Planes of the Luftwaffe Aces, II p.93, 98"
"Enser","Walter","Uffz.","  5","JG 54","WIA on 9.Aug.44 in Luftkampf.",,"O.K.L. Fighter Claims"
"Ensslen","Wilhelm","Hptm."," 12","JG 52","MIA on 2.Nov.40. 9 in Spain.",,"O.K.L. Fighter Claims; Prien/Bock; Fast, JG 52, IV, p.41; Ries, Legion Condor"
"Epphardt","Herbert","Hptm.","  8","JG 51",,,"O.K.L. Fighter Claims"
"Erdmann",,"Ltn.","  5","JG 5",,,"O.K.L. Fighter Claims"
"Erhard","Matthäus","Uffz.","  7","JG 300","5 Viermot",,"O.K.L. Fighter Claims; Barbas, Planes of the Luftwaffe Aces, II; Frappe/Lorant, Le FW190 p.306"
"Ehrhardt","Peter","Oblt."," 26","NJG 5, NJG 1",,"DK?","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Erichsen","Dieter","Ofhr.","  5","NJG 4, NJG 6",,,"Avions #78, p.58-62"
"Erlenkämper","Friedrich","Ofw."," 12","JG 54","WIA on 20.Dec.43.",,"O.K.L. Fighter Claims"
"Erler","Albert","Fw.","  8","JG 4","KIA on 24.Dec.44 in Luftkampf.",,"O.K.L. Fighter Claims; Mombeek, Sturmjäger, II"
"Ermisch","Heinz","Uffz."," 21","JG 52, JG 300","KIFA on 27.Aug.43.",,"O.K.L. Fighter Claims; Fast, JG 52; Prien & Rodeike, JG 1 & 11"
"Ernst","Erich","Fw.","  7","JG 53",,,"O.K.L. Fighter Claims; Prien, JG 53, III"
"Ernst","Wolfgang","Oblt."," 36","JG 77, JG 53",,"DK","Prien & Rodeike, JG 1 & 11, II; Prien, JG 53, III"
"Erren","Heinz","Uffz.","  8~","JG 51","MIA on 28.Aug.44.",,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Ertel","Otto","Oblt."," 11","JG 77, Kdo.Herr.; JG 300",,,"O.K.L. Fighter Claims; Prien, JG 77, IV"
"Fernsebner","Josef","Ofw.","  8","JG 52","KIA on 9.Aug.41.",,"O.K.L. Fighter Claims; Prien/Bock"
"Fischer","August","Hptm."," 10","NJG 5, NJG 100",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Ferger","Heinz","Hptm."," 23","NJG 3, NJG 2","KIA on 10.Apr.45.","DK?","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Fenske","Walter","Hptm."," 13","Z/LG 1, NJG 1, NJG 2, NJG 5","KIA on 26.Mar.44. 2 in Poland.","EP","O.K.L. Fighter Claims; LW NF Claims 39-45; Taghon, LG 1"
"Fensch","Frithjof","Ltn."," 12","NJG 4",,"EP","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Fengler","Georg","Oblt."," 16","NJG 1, NJG 4",,"DK?","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Fehre",,"Fw.","  8","JG 300","KIA 1944",,"Aders, History of the German Night Fighter Force 1917-1945"
"FRANK","Hans-Dieter","Hptm."," 55","ZG1, NJG 1","KIFA on 28.Sep.43.","EL","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.61"
"FINDEISEN","Herbert","Hptm."," 67","NAGr. 4, JG 54","42 v. as Aufklärer, 300 ff, 200 as Aufklärer.","RK","O.K.L. Fighter Claims; Obermaier, p.110; Scutts, JG 54"
"Forbig","Horst","Ltn."," 58","JG 54","MIA on 12.Jun.44.","DK","O.K.L. Fighter Claims; Scutts, JG 54"
"Ertmann","Horst","Ltn.","  6","JG 1","KIA on 26.Dec.44 in Luftkampf with P-51s.",,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, I, III"
"Fischer","Siegfried","Ltn.","  3","JG 53","MIA on 2.Dec.40 after Luftkampf with Spitfire.",,"O.K.L. Fighter Claims; Prien/Bock"
"Federle","Josef","Ofw.","  7","NJG 6",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Feyerlein","Hans","Ofw."," 20~","JG 53","KIA on 16.Mar.44 in Luftkampf.","EP","O.K.L. Fighter Claims; Prien, JG 53, III"
"FÖNNEKOLD","Otto","Oblt.","136","JG 52","Stkp. KIA on 31.Aug.44. 600+ ff","RK","O.K.L. Fighter Claims; Fast, JG 52, IV p.128; Obermaier p.111"
"Förster","Paul","Major","  8","NJG 1","KIC 1.Oct.44. 3 day.","EP","O.K.L. Fighter Claims; LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945"
"Färber","Leonhard","Ltn."," 34","JG 52","Stkp. MIA on 27.Jan.45 due to Flak.",,"O.K.L. Fighter Claims; Fast, JG 52, IV, p.131"
"Fels","Konrad","Ltn."," 10","JG 77","MIA on 10.Nov.42.",,"Prien/Bock; Prien, JG 77, IV"
"FRANK","Heinz","Oblt.","  8","LG 2, Sch.G.1, SG2, SG151","Died 7.Oct.44.","EL","O.K.L. Fighter Claims; Obermaier, II"
"Fluder","Emmerich","Oblt.","  9","JG 27","Stkp. MIA on 31.May.42.",,"O.K.L. Fighter Claims; Prien/Bock; Ring/Girbig, JG 27; Prien/Rodeike/Stemmer, II./JG 27"
"Fraass","Helmut","Fw.","  5","JG 53",,,"Prien, JG 53, II"
"FRANCSI","Gustav Eduard","Oblt."," 58","KG40, NJG 100","250+ ff.","RK","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.112"
"Fassner","Franz","Uffz."," 10","JG 52","WIA on 12.Oct.44.",,"Fast, JG 52, IV, p.129"
"Eyrich","Waldemar","Fw."," 36","JG 3","KIA on 11.Apr.44 in Luftkampf with enemy fighters.","DK","O.K.L. Fighter Claims; Prien/Stemmer, II./JG 3"
"Esser","Wilhelm","Ltn.","  8","JG 53","Stfhr.",,"O.K.L. Fighter Claims; Prien, JG 53, III"
"Fischer","Arno","Ltn."," 16","JG 52, JG 53","Stfhr.",,"Prien, JG 53, III; Fast, JG 52"
"Förster","Hermann","Ofw."," 13","11(N)/JG 2, NJG 1, JG 27","KIA on 14.Dec.41 in Luftkampf. All same pilot?",,"O.K.L. Fighter Claims; Prien/Bock; LW NF Claims 39-45; Ring/Girbig, JG 27; Prien/Rodeike/Stemmer, Stab & I./JG 27"
"Frankenberger","Heinrich","Fw.","  8","JG 53","KIA on 19.May.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien, JG 53, III"
"Fehdler","Werner","Ofw.",,"SG2","65 pz.","DK","Obermaier, II, p.216"
"FRANKE","Alfred","Fw."," 59","JG 53","MIA on 9.Sep.42 after Luftkampf.","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.112; Prien, JG 53, II"
"Florian","Ernst","Fw."," 13","JG 1","KIA on 30.Nov.43, shot down while landing.",,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, I"
"Fink","Raoul","Uffz.","  7","JG 3","MIA on 21.May.43 after Luftkampf.",,"O.K.L. Fighter Claims"
"Espenlaub","Albert","Ofw."," 14","JG 27","POW on 13.Dec.41 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Ring/Girbig, JG 27; Prien/Rodeike/Stemmer, Stab & I./JG 27"
"Förster","Richard","Ltn."," 25","JG 77, JG 1","MIA on 27.Dec.44 in Luftkampf with P-51s.",,"Prien, JG 77, III; Prien/Rodeike, JG 1 & 11, III"
"FÖZÖ","Josef","Hptm."," 27","J/88, JG 51","Kdr. WIFA on 31.May.42. 3 in Spain.","RK","O.K.L. Fighter Claims; Prien/Bock; Ries, Legion Condor; Aders/Held, JG 51; Obermaier p.111"
"Fieber","Johann","Fw."," 19","JG 54","MIA on 30.May.43 after Luftkampf.",,"O.K.L. Fighter Claims"
"Föhl","Heinz","Ltn."," 45","JG 52","Is this legit? No claims via docs yet.",,"Fast, JG 52"
"Franke","Moritz","Fw.","  7","JG 51","MIA on 2.Aug.43 after Luftkampf.",,"O.K.L. Fighter Claims"
"Florian","Rudolf","Uffz."," 10","JG 54",,,"O.K.L. Fighter Claims"
