"Pilot Name","First Name","Rank","Victories","Jagdgeschwader","Remarks","Awards","References"
"Sliwa","Leo","Fw.","  8","JG 77","KIFA on 6.Jul.44.",,"O.K.L. Fighter Claims; Prien, JG 77, IV"
"Schwaneberg","Siegfried","Fw."," 15","JG 51",,,"O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"Skreba","Wilhelm","Fw."," 11","JG 77",,,"O.K.L. Fighter Claims; Prien, JG 77, IV"
"Spreckels","Robert","Ofw."," 12","JG 1, JG 11",,,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, III"
"Spoden","Peter","Hptm."," 24","NJG 5, NJG 6",,"DK","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Soukup","Herbert","Ltn.","  5","JG 53","POW on 15.May.42, shot down by S/L Douglas-Hamilton (603 Sq.).",,"O.K.L. Fighter Claims; Prien, JG 53, III"
"Sommerhoff","Hubert","Uffz."," 11","JG 53",,,"Prien, JG 53, III"
"SIEGLER","Peter","Fw."," 48","JG 54","MIA on 24.Sep.42.","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.206"
"SPIEß","Wilhelm","Major"," 20","ZG 26","Kdr. KIA on 27.Jan.42 by Flak. 300+ ff","EL","Obermaier p.50"
"Schlothauer","Werner","Uffz.","  7","JG 51",,,"O.K.L. Fighter Claims"
"Schulz","Hans-Günther","Ofhr.","  6","JG 54",,,"O.K.L. Fighter Claims"
"Schaffrath","Paul-Georg","Oblt.","  5","JG 300",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Schnöll","Alois","Fw.","  5","JG 2","KIA on 22.Aug.43 in Luftkampf.",,"O.K.L. Fighter Claims"
"Schneider","Wilhelm","Fw.","  8","I(J)/LG 2",,,"O.K.L. Fighter Claims; Prien/Bock"
"Schneider","Fritz","Uffz.","  9+","JG 51, JG 52",,,"O.K.L. Fighter Claims"
"Schneider","Bruno","Uffz.","  6","JG 52","(possibly JG 51 too)",,"O.K.L. Fighter Claims"
"Schmitz","Hans","Ltn.","  6","NJG 1","KIFA on 26.Sep.44.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Schmitz","Hermann","Uffz.","  6","JG 51","MIA on 5.Jul.43 after Luftkampf.",,"O.K.L. Fighter Claims"
"Schmitt","Otto","Ofw.","  6","JG 53","KIA on 20.Apr.43 in Luftkampf.",,"O.K.L. Fighter Claims; Prien, JG 53, II"
"Scheunpflug","Manfred","Ltn.","  5","NJG 3","KIFA on 13.Jan.45.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Schick","Willi","Uffz.","  5","JG 3","KIA on 10.Feb.43 in Luftkampf.",,"O.K.L. Fighter Claims"
"Schiebeler","Kurt","Uffz.","  6","JG 54, JG 400, JG 7",,,"O.K.L. Fighter Claims; Scutts, JG 54; Foreman/Harvey, Me262 Combat Diary"
"Schlosser","Franz","Fw.","  6","JG 52",,,"Prien/Bock"
"Schulze-Blanck","Günther","Oblt.","  6","JG 53","Stkp. KIA on 9.Sep.40 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Schäuble","Karl","Fw."," 30","JG 3","KIA on 27.Feb.43 by Flak.","DK","O.K.L. Fighter Claims; Prien, III./JG 3"
"SAYN-WITTGENSTEIN","Prinz Heinrich zu","Major"," 83","KG 51, NJG 2, NJG 5, NJG 1, NJG 3","KIA on 22.Jan.44 in Luftkampf. 320 ff (150 as Kampfflieger)","S","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.34; Aders, History of the German Night Fighter Force 1917-1945"
"Schmetzer","Reinhold","Ofw."," 35","JGr.186, JG 77, JG 4","KIA on 7.May.44.","DK","O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, II; Mombeek, Sturmjäger, I"
"SCHMIDT","Rudolf","Ofw."," 42","JG 77","MIA on 6.Apr.42 after Luftkampf with Pe-2s.","RK","O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, II; Obermaier p.198"
"Sannemann","Heinrich","Hptm."," 23","JG 3","Stkp.",,"O.K.L. Fighter Claims; Prien/Bock"
"SCHUHMACHER","Leo","Ltn."," 23","ZG 76, JG 1, JG 3, JV 44","10 Viermots, 250~ ff.","RK","O.K.L. Fighter Claims; Shores: Fledgling Eagles; Obermaier, p.201, Prien/Rodeike, JG 1 & 11, II; Foreman/Harvey, Me262 Combat Diary"
"Schöfbeck","Erich","Ltn."," 12","JG 27","Stkp. MIA on 13.Oct.42.","DK","O.K.L. Fighter Claims; Prien/Bock; Ring/Girbig, JG 27"
"Schlitzer","Gottfried","Oblt."," 25~","JG 51","Stkp. WIA on 3.Aug.42 by enemy fire. DOW 6.Aug.42.",,"O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"SCHULZE-DICKOW","Fritz","Oblt.","  4","ZG 26","WIA on 15.Nov.41 due to Flak. 500~ ff","RK","O.K.L. Fighter Claims; Obermaier, p.203"
"Ritter","Rudolf","Uffz.","  7","JG 54","MIA on 3.Aug.43 after Luftkampf.",,"O.K.L. Fighter Claims"
"Röhrich","Kurt","Fw."," 13","Sturmst.1, JG 3","KIA on 19.Jul.44 in Luftkampf.","DK","O.K.L. Fighter Claims; Prien, IV./JG 3; Mombeek, Sturmstaffel 1"
"Roth","Hptm.","Jürgen","  1","JG 2","3 ground claims, 1 unknown.",,"O.K.L. Fighter Claims"
"Rott","Frank-Werner","Hptm.","  7","JG 53, JG 27, JG 77",,,"O.K.L. Fighter Claims; Prien/Bock; Prien/Rodeike/Stemmer, III. & IV./JG 27; Prien, JG 77, IV"
"Sander","Franz","Ofw.","  6","ZG 26","POW on 28.Jan.42.",,"O.K.L. Fighter Claims"
"Sandweg","Kurt","Fw."," 20","JG 51, JG 3","WIA on 28.May.44.",,"O.K.L. Fighter Claims; Prien/Stemmer, Stab und I./JG 3"
"ROKA","Franz","Hptm.","  4","St.G.2, SG1","MIA on 21.Oct.43. 50 pz, 515 ff","RK","Obermaier, II, p.182"
"Rolland","Heinz","Ltn."," 13","NJG 1","KIA on 4.Dec.44.","EP","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Sarge","Walter","Uffz.","  9","JG 52","MIA on 7.Jul.43 after Luftkampf.",,"O.K.L. Fighter Claims"
"Rosenberg","Helmut","Fw."," 12","JG 77, JG 52","MIA on 15.Oct.44 in Luftkampf with Il-2.",,"O.K.L. Fighter Claims; Prien, JG 77, IV; Fast, JG 52, IV, p.129"
"Rogge","Günther","Oblt.","  5","NJG 3, NJG 2",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Rochel","Kurt","Ofw.","  7","J/88, ZG 26","POW on 2.Sep.40 after Luftkampf.",,"Ries, Legion Condor; Vasco/Cornwell"
"Roebbers","Rudolf","Ofw.","  7","JG 2, JG 51, JGr.Ost",,,"O.K.L. Fighter Claims; Prien/Bock"
"Rischbieter","Georg","Fw.","  6","SKG 10, SG 4",,,"O.K.L. Fighter Claims; A/J, Fw 190 in North Africa"
"Schmidt","Gottfried","Oblt.","  8","JG 26","Stkp.",,"O.K.L. Fighter Claims; Priller, JG 26"
"ROßMANN","Edmund","Ofw."," 93","JG 52","POW on 9.Jul.43 attempting a rescue. 640 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.189; Fast Vol. IV p.99"
"Schmidt","Rudolf","Ofw.","  9","JG 53","MIA on 4.Aug.44 after Luftkampf with P-51.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, III"
"Schmid","Rudolf","Ltn."," 11","JG 11","Stfhr. KIA on 20.Aug.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, II"
"Schmidt","Fritz (Franz?)","Uffz.","  6","JG 77","KIC on 4.Nov.41.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, II"
"Sauerwein","Heinrich","Fw.","  5","ZG 26, ZG 101",,,"O.K.L. Fighter Claims"
"Ruland","Georg","Oblt.","  5","JG 54","KIA on 1.Aug.41 due to ground fire.",,"O.K.L. Fighter Claims; Prien/Bock"
"RITZ","Otto","Ofw.","  2","SG9","MIA on 12.Feb.45. 60~ pz.","RK","Obermaier, II. p.180"
"Sattler","Günther","Uffz.","  5","JG 52","MIA on 23.Jan.45.",,"O.K.L. Fighter Claims"
"RUFFER","Rudolf-Heinz","Hptm.",,"Sch.G. 1, SG 9","KIA on 16.Jul.44 by Flak.  80 pz, 300~ ff","RK","Obermaier, II, p.183"
"RUDEL","Hans Ulrich","Oberst","  9","SG 2","519+ pz, 800+ vechicles, 3 ships, 70 lc, 2530 ff!!","GOL","O.K.L. Fighter Claims; Obermaier, II"
"ROSSIWALL","Theodor","Oberstltn."," 19","ZG 26, NJG 4, NJG 101, ZG 76","2 night, 2 in Spain, 400+ ff.","RK","O.K.L. Fighter Claims; Ries, Legion Condor; Vasco/Cornwell; Shores; Obermaier p.188; Aders, History of the German Night Fighter Force 1917-1945"
"Rolly","Horst","Ofw."," 36","JG 5, JG 400","KIFA on 2.Nov.44.","DK","O.K.L. Fighter Claims; Girbig, JG 5"
"RÖKKER","Heinz","Hptm."," 64","NJG 2","55 Viermots, 161 ff","EL","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.74"
"ROHWER","Detlev","Hptm."," 38","JG 3, JG 1","WIA on 29.Mar.44 in Luftkampf. DOW 30.Mar.","RK","O.K.L. Fighter Claims; Prien/Bock; Prien/Stemmer, II./JG 3; Obermaier p.188"
"Sauder",,"Uffz.","  5","JG 51","KIA on 7.Apr.45.",,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Salwender","Florian","Fw."," 25","JG 77, JG 5","POW 23.Apr.42. Died in captivity.",,"Girbig, JG 5; Barbas, Planes of the Luftwaffe Aces, II"
"Rohlff","Wilhelm","Uffz.","  9","JG 77",,,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, IV"
"Röders","Carl-Hans","Oblt.","  8","JG 2","Stkp. KIA on 23.Jun.41, cause unknown.",,"O.K.L. Fighter Claims; Prien/Bock; Chris Goss"
"Rower","Hans","Gefr.","  5+","JG 2",,,"Ring, JG 2 loss list"
"Schmid","Reinhold","Uffz.","  5+","JG 2",,,"Ring, JG 2 loss list"
"Rusche","Dieter","Ofw.","  7","JG 302, JG 301",,,"O.K.L. Fighter Claims; LW NF Claims 39-45; Reschke, JG 301/302, p.245"
"Salffner","Gustav","Ltn."," 14","JG 300",,,"per Salffner"
"Runge","Johannes","Uffz.","  6","JG 54","MIA 22.May.43.",,"O.K.L. Fighter Claims; Rosipal JG 54 loss list"
"Ritzel","Georg","Ltn."," 10","JG 54","MIA on 7.Oct.44 after Luftkampf.",,"O.K.L. Fighter Claims"
"Schrade","Hans","Uffz."," 24","JG 54, JG 5","KIA on 1-.May.44 in Luftkampf.",,"O.K.L. Fighter Claims"
"Rost","Wolfgang","Ltn."," 12","JG 5","POW on 29.Feb.44.",,"O.K.L. Fighter Claims; Girbig, JG 5 p.195"
"Rose","Helmut","Ltn."," 11","JG 53, JG 3","POW on 7.Oct.42 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, III; Prien/Stemmer, Stab und I./JG 3"
"Rudschinat","Siegfried","Fw."," 12","JG 11",,,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, II"
"Ruschen","Helmut","Ltn."," 10~","JG 54, JG 51",,,"O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"Rudloff","Hans Werner von","Ltn."," 10","JG 52","MIA on 1.Apr.44 after Luftkampf.",,"O.K.L. Fighter Claims; Fast, JG 52, IV, p.123"
"Rysavy","Martin","Oblt.","  8","JG 26","Stkp. KIA on 2.Jul.41 by own Flak.",,"O.K.L. Fighter Claims; Prien/Bock; Priller, JG 26"
"Saborowski","Rudolf","Ofw."," 39","JG 3","KIA on 8.Jul.42 in Luftkampf with Pe-2 and MiG-3.","DK","O.K.L. Fighter Claims; Prien/Bock; Prien, III./JG 3"
"Schmidt","Friedrich-Wilhelm","Ltn.","  8","JG 3","KIA on 18.Apr.44 in Luftkampf with enemy fighters.",,"O.K.L. Fighter Claims; Prien/Stemmer, II./JG 3"
"Ruppert","Kurt","Hptm."," 21","JG 26","Kdr. KIA on 13.Jun.43.","DK","O.K.L. Fighter Claims; Prien/Bock; Priller, JG 26"
"Sack","Horst","Uffz.","  6","JG 54","KIA on 23.Feb.44 in Luftkampf.",,"O.K.L. Fighter Claims"
"Schmid","Otto","Fw.","  7","JG 1, JG 11",,,"O.K.L. Fighter Claims; Prien & Rodeike, JG 1 & 11, II"
"Ritzenberger","Karl","Oblt."," 21","JG 52","Stkp. KIA on 24.May.43 in Luftkampf with Yaks.",,"O.K.L. Fighter Claims; Fast, JG 52, IV, p. 93"
"ROLLWAGE","Herbert","Oblt."," 71+","JG 53","664 ff (Other sources have said 102 w/44 Viermots.)","EL","O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, II; Obermaier p.72"
"ROEHRIG","Hans","Oblt."," 75","JG 53","Stkp. KIA on 13.Jul.43 in Luftkampf with Spitfires.","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.187; Prien, JG 53, II"
"Ruge","Wilhelm","Ltn.","  9","JG 53","MIA on 8.Jun.42.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, II"
"RUPP","Friedrich","Ltn."," 52","JG 54","KIA on 15.May.43 in Luftkampf.","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.191"
"RÜBELL","Günther","Hptm."," 50","JG 51","820 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.189; Aders/Held, JG 51"
"RÜFFLER","Helmut","Ofw."," 88","JG 3, JG 51, JG 7","10 more unc., 8 Viermots, 690 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.190; Aders/Held, JG 51; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Rüttger","Karl","Oblt."," 38","JG 52","Stkp. POW on 1.Jul.42 after Bauchlandung due to engine damage from Luftkampf. Survived!","DK","O.K.L. Fighter Claims; Prien/Bock; Fast, JG 52, IV, p.68"
"SACHSENBERG","Heinz","Ltn.","104","JG 52, JG 7, JV 44","520 ff","RK","O.K.L. Fighter Claims; Fast, JG 52, IV p.128; Obermaier p.191; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Rössner","Hans","Fw."," 12","JG 77","KIA on 23.Dec.44 in Luftkampf with P-47.",,"O.K.L. Fighter Claims; Prien, JG 77, IV"
"Sauber","Robert","Uffz.","  7","JG 51","KIA on 14.Jul.43 in Luftkampf.",,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Rogall","Hubertus","Ltn."," 16","JG 77",,,"Prien, JG 77, IV"
"Russ","Otto","Ltn."," 27","JG 53","KIA on 2.Jul.44 in Luftkampf with P-47 and Spitfire.","DK","O.K.L. Fighter Claims; Prien, JG 53, III"
"RUDORFFER","Erich","Major","224","JG 2, JG 54, JG 7","12 w/262, 11 Viermots, 58 Il-2s, 1000+ ff.","S","O.K.L. Fighter Claims; Prien/Bock; Obermaier, p.39; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Riedlberger","Walter","Oblt."," 10","NJG 2, NJG 4","MIA on 26.Dec.44.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"RALL","Günther","Major","275","JG 52, JG 11, JG 300","15 Il-2s, 700+ ff.","S","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.33"
"Reiser","Robert","Ofw.","  7+","JG 3",,,"O.K.L. Fighter Claims; Prien, III./JG 3; Prien/Stemmer, II./JG 3"
"Riehl","Erwin","Ofw."," 14","JG 77","KIA on 26.Jul.41.",,"Prien/Bock"
"Rentz",,"Ltn.","  9","JG 11",,,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, II & III"
"RAMMELT","Karl","Major"," 46","JG 51","WIA on 23.Dec.44. 14 more unc., 11 Viermots, 14 unc, 450 ff.","RK","O.K.L. Fighter Claims; Obermaier p.183; Aders/Held, JG 51"
"Riepe","Ernst","Fw.","  6","JG 27","MIA on 19.Sep.41 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Ring/Girbig, JG 27"
"Richey","Ofw.","Erwin","  9","JG 2","KIA on 24.Jul.41 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Reichenbach",,"Fw.","  8","JG 300, NJG 11",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Reinhardt",,"Ofw.","  7","JG 52",,,"O.K.L. Fighter Claims"
"REMMER","Hans","Hptm."," 27","JG 27","Stkp. KIA on 2.Apr.44 in Luftkampf. 8 Viermots","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.185; Ring/Girbig, JG 27; Prien/Rodeike/Stemmer, Stab & I./JG 27"
"Reiher","Gerhard","Uffz.","  5~","JG 52, JG 3, JG 7","4~ with 262.",,"Fast, JG 52; Foreman/Harvey, Me262 Combat Diary"
"Ressel","Heinz","Ltn.","  5","JG 3","WIA on 14.Aug.41 in Luftkampf with I-16.",,"Prien/Bock"
"Reiser","Hans","Ltn.","  7","JG 3","KIA on 10.Jul.43in Luftkampf with La-5.",,"O.K.L. Fighter Claims; Prien/Stemmer, II./JG 3"
"Reuter","Horst","Fw."," 21","JG 27","MIA on 27.May.42.",,"O.K.L. Fighter Claims; Prien/Bock; Ring/Girbig, JG 27"
"Riedel","Joachim","Ltn.","  5","JG 52","KIFA on 9.Jan.42.",,"Prien/Bock"
"Rath","Erwin","Uffz.","  5+","JG 2",,,"Ring, JG 2 loss list"
"Reiter","Theo","Ofw.","  7","JG 53","WIA on 29.Jun.43.",,"Prien, JG 53, III"
"Richter","Richard","Fw.","  5","NJG 3, NJG 2","POW on 2.Jan.45 after Luftkampf.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Rieckhoff","August","Ltn."," 35","JG 52","Stfhr. KIA on 9.Feb.45 by Flak.",,"O.K.L. Fighter Claims; Fast, JG 52, IV"
"RESCHKE","Willi","Ofw."," 27","JG 302, JG 301","18 Viermot, 70~ ff.","RK","O.K.L. Fighter Claims; Obermaier, p.186; Reschke, JG 301/302, p.245"
"Rathke","Waldemar","Oblt."," 15","NJG 5, NJG 100",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Riedmeir","Adolf","Ofw."," 16","JG 52","WIA on 11.May.42 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Barbas, II./JG 52"
"Raupach","Richard","Ofw."," 23","JG 54, JG 7",,,"O.K.L. Fighter Claims; Scutts, JG 54; Boehme, JG 7"
"Rappl","Franz","Ofw.","  7","JG 51",,,"O.K.L. Fighter Claims"
"Rauer",,"Fw.","  6","NJG 1",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Rechberger","Karl","Ltn.","  5","NJG 3","WIA on 4.Nov.43.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Reinbrecht","Ekke-Eberhard","Oblt.","  6","I(J)/LG 2, JG 77",,,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, IV"
"Reckendorfer","Friedrich","Fw.","  5","JG 52, JG 5","KIA on 27.May.44 in Luftkampf.",,"O.K.L. Fighter Claims"
"Rahner","Erich","Uffz.","  6","JG 51",,,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Reese","Hermann","Oblt.","  5","NJG 1","Stfhr. WIA on 7.Aug.42 in Luftkampf.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Reibel","Ludwig","Ofw."," 38","JG 53","KIA on 20.Dec.42 by Flak during low-level attack.","DK","O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, II"
"Reischer","Peter","Oblt."," 19","JG 26","Stkp. KIA on 18.Dec.44.","DK","O.K.L. Fighter Claims; Caldwell, JG 26; Priller, JG 26"
"Richter",,"Ltn.","  7","NJG 100",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Rauchfuß","Herbert","Uffz."," 11","JG 54","MIA on 22.Jul.43.",,"O.K.L. Fighter Claims"
"Richter","Hans","Ltn."," 22","JG 1, JG 27","KIA on 11.Sep.41 after Luftkampf with bomber.",,"O.K.L. Fighter Claims; Prien/Bock; Ring/Girbig, JG 27"
"RAUCH","Alfred","FhjOfw."," 60","JG 51","681 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"Richter","Ernst","Ofw."," 20","JG 54, JG 11",,,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, II"
"Rathmann","Kurt","Uffz.","  5","JG 52",,,"O.K.L. Fighter Claims; Fast, JG 52, IV"
"RETTBERG","Ralph von","Oberst","  8","ZG 26, ZG2","12 more on the ground, 150~ ff.","RK","Obermaier, p.186"
"Reich","Günter","Uffz."," 14","JG 3","KIA on 2.Oct.42.",,"O.K.L. Fighter Claims; Prien, III./JG 3"
"Reitinger","Friedrich","Uffz.","  9","JG 51","MIA on 23.Jul.43 after Luftkampf.",,"O.K.L. Fighter Claims"
"Reins","Willi","Fw.","  5","JG 2","KIA on 24.Jul.41 due to Flak.",,"Prien/Bock"
"Raithel",,"Oblt.","  5","JG 54","Only 1 claim listed but source says it was his 5th.",,"Prien/Bock"
"Reitmeyer","Ernst","Ofw."," 22","NJG 5",,"DK","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Rabenstein","Walter","Ltn.","  5","JG 27","MIA on 27.Jun.44.",,"O.K.L. Fighter Claims; Prien/Rodeike/Stemmer, III. & IV./JG 27; Ring/Girbig, JG 27"
"Reichelt","Hubert","Oblt.","  5","10(N)/ZG 1, NJG 200","KIA on 3.Nov.43 in Luftkampf.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Reichenberger","Walter","Fw.","  3","NJG 2",,,"O.K.L. Fighter Claims; LW NF Claims 39-45; Rökker, I./NJG 2"
"Renzow","Hans-Werner","Ltn."," 23","JG 77",,,"O.K.L. Fighter Claims; Prien, JG 77, IV"
"RAUH","Hubert","Major"," 31","NJG 1, NJG 4","Kdr. 152 ff","RK","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.184"
"Ressugier","Alex","Hptm.","  5","NJG 5, NJG 1",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Resech",,"Fw.","  5","JG 302, JG 300",,,"O.K.L. Fighter Claims"
"Resch","Carl","Ltn."," 13","JG 54","KIA on 14.Jan.45 in Luftkampf.",,"O.K.L. Fighter Claims"
"Reinhardt","Hans-Günther","Fw."," 44","JG 54, JG 1","WIA on 8.Oct.43 in Luftkampf with B-17s.","DK","O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, I"
"RESCH","Rudolf","Major"," 94","J/88, JG 77, JG 52, JG 51","KIA on 11.Jul.43. 1 in Spain","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.185; Aders/Held, JG 51; Ries, Legion Condor"
"Rathofer","Fritz","Uffz.","  9","JG 1","KIA on 30.Jun.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Rathenow","Johannes","Fw.","  7","JG 1","KIA on 3.Nov.43 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Prien & Rodeike, JG 1 & 11"
"RESCH","Anton","Oblt."," 91","JG 52","Stkp. 210 ff","RK","O.K.L. Fighter Claims; Fast, JG 52, IV; Obermaier p.185"
"Rachner","Hans","Oblt."," 10","JG 3","Stkp. KIA on 7.Jul.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien, IV./JG 3"
"Raimann","Gerhard","Uffz."," 15","JG 54","KIA on 20.Feb.44 in Luftkampf with P-47s.",,"O.K.L. Fighter Claims"
"Repple","Walter","Ofw."," 15","JG 76, JG 54","KIA on 13.Sep.43 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Raich","Alfons","Oblt."," 14","JG 3, JG 1",,,"O.K.L. Fighter Claims; Prien/Bock; Prien/Stemmer, Stab und I./JG 3"
"Reiff","Hans","FhjFw."," 54","JG 3","KIA on 2.Dec.44 in Luftkampf with P-47s.","DK","O.K.L. Fighter Claims; Prien, III./JG 3; Prien/Stemmer, Stab und I./JG 3"
"Riha","Alfred","Ltn.","  8","JG 3","MIA on 28.Jul.42 after Luftkampf with Pe-2.",,"O.K.L. Fighter Claims; Prien/Stemmer, Stab und I./JG 3"
"Reschke","Heinz","Hptm.","  7","NJG 6","KIA on 24.Apr.44.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Resch","Elmar","Oblt.","  8","JFS 5, JG 2, JG 1","POW on 23.Aug.44 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Reiche",,"Ltn.","  7","JG 302, JG 301",,,"O.K.L. Fighter Claims; Reschke, JG 301/302, p.244"
"Reinhold","Gerhard","Ofw."," 41+","JG 5, JG 7","KIA on 4.Apr.45. 250~ ff","DK","Girbig, JG 5; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"RADEMACHER","Rudi","Ltn."," 97","JG 54, Erg.Gr.Nord, JG 7","23 more unc, 21 Il-2s, 16~ w/262, 500+ ff","RK","O.K.L. Fighter Claims; Obermaier p.183; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"RADENER","Waldemar","Oblt."," 37","JG 26, JG 300","17 Viermots","RK","O.K.L. Fighter Claims; Caldwell, JG 26; Obermaier, p.183; Priller, JG 26"
"RAHT","Gerhard","Hptm."," 58","NJG 3, NJG 2","171 ff","EL","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.75"
"REINERT","Ernst Wilhelm","Hptm.","174","JG 77, JG 27, JG 7","715 ff","S","O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, III; Obermaier p.40; Ring/Girbig, JG 27; Boehme, JG 7"
"REDLICH","Karl-Wolfgang","Hptm."," 41","J/88, JG 27","KIA on 29.May.44 after downing a B-24. 4 in Spain.","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.184; Ring/Girbig, JG 27; Prien/Rodeike/Stemmer, Stab & I./JG 27; Ries, Legion Condor"
"Ratzlaff","Kurt","Ofw."," 68","JG 52","POW on 29.Sep.42 after Luftkampf.","DK","O.K.L. Fighter Claims; Prien/Bock; Fast, JG 52, IV, p.77"
"Reinartz","Fridolin","Ltn.","  7","JG 3","KIA on 6.Aug.44 in Luftkampf with enemy fighters.",,"O.K.L. Fighter Claims; Prien/Stemmer, II./JG 3"
"Ransmayer","Hans","Ltn."," 37","JG 54","KIA on 20.Sep.44.","DK","O.K.L. Fighter Claims"
"RADUSCH","Günther","Oberst"," 65","ZG1, NJG 1, NJG 3, NJG 5, NJG 2","1 in Spain, 140+ ff.","EL","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.63; Ries, Legion Condor"
"Rampfel","Helmut","Uffz.","  9","JG 52",,,"Prien/Bock"
"Range","Günther","Fw.","  5","JG 54, JGr.Süd, JG 1, JG 11","KIA on 13.Nov.43 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Rapp","Werner","Oblt."," 16","NJG 1, NJG 5",,"DK?","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Rentsch","Wolfgang","Ltn."," 10","JG 3, JG 7",,,"O.K.L. Fighter Claims; Prien, III./JG 3; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Rippert","Horst","Fw."," 29","JGr.Süd, JGr. 200, JG 27","10 Viermots",,"O.K.L. Fighter Claims; Prien/Rodeike/Stemmer, III. & IV./JG 27; Prien/Rodeike/Stemmer, II./JG 27; Ring/Girbig, JG 27"
"Raum","Hans","Oblt."," 12","NJG 3",,"EP","O.K.L. Fighter Claims; LW NF Claims 39-45"
