"unit","rd","unit_type","total_kills","pilots_w_kills","aces","gt_20","entries","exits","ace_entries","ace_exits","sum_claims","date"
"JG 27",0,"JG",116,2,2,2,0,0,0,0,0,1944-04-04
"JG 27",1,"JG",782,70,47,8,0,0,0,0,0,1944-04-04
"JG 3",0,"JG",103,1,1,1,0,0,0,0,0,1944-04-04
"JG 3",1,"JG",1721,96,69,26,0,0,0,0,0,1944-04-04
"JG 300",1,"wilde_sau",110,26,6,1,0,0,0,0,0,1944-04-04
"JG 301",1,"wilde_sau",52,9,3,0,0,0,0,0,1,1944-04-04
"JG 302",1,"wilde_sau",31,9,1,0,0,0,0,0,0,1944-04-04
"JG 4",1,"JG",84,5,4,2,0,0,0,0,0,1944-04-04
"JG 5",0,"JG",568,53,32,6,0,0,0,0,3,1944-04-04
"JG 51",0,"JG",3289,148,121,51,0,0,0,0,0,1944-04-04
"JG 52",0,"JG",3066,105,81,36,0,0,0,0,1,1944-04-04
"JG 53",0,"JG",726,53,32,11,0,0,0,0,0,1944-04-04
"JG 53",1,"JG",139,17,9,1,0,0,0,0,0,1944-04-04
"JG 54",0,"JG",2489,98,74,30,0,0,0,0,18,1944-04-04
"JG 54",1,"JG",210,12,10,4,0,0,0,0,0,1944-04-04
"JG 77",0,"JG",1342,88,53,17,1,0,0,0,7,1944-04-04
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-04-04
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1944-04-04
"JGr. Ost",0,"JG",10,2,1,0,0,0,0,0,0,1944-04-04
"JGr. Süd",0,"JG",16,5,2,0,0,0,0,0,0,1944-04-04
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-04
"Kdo.Herr.",0,"JG",3,2,0,0,0,0,0,0,0,1944-04-04
"KG 40",0,"JG",11,3,1,0,0,0,0,0,0,1944-04-04
"LG 2",0,"JG",20,5,2,0,0,0,0,0,0,1944-04-04
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-04
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-04-04
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-04-04
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-04-04
"NAGr. 2",0,"JG",12,3,1,0,0,0,0,0,0,1944-04-04
"NAGr. 4",0,"JG",20,6,2,0,0,0,0,0,1,1944-04-04
"NAGr. 5",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-04
"NJG 1",1,"NJG",626,43,29,12,0,0,0,0,0,1944-04-04
"NJG 100",0,"NJG",105,20,13,0,0,0,0,0,0,1944-04-04
"NJG 101",0,"NJG",32,6,2,1,0,0,0,0,0,1944-04-04
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-04-04
"NJG 2",1,"NJG",211,24,13,3,0,0,0,0,0,1944-04-04
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-04-04
"NJG 3",1,"NJG",422,38,21,4,0,0,0,0,0,1944-04-04
"NJG 4",1,"NJG",239,18,12,3,0,0,0,0,0,1944-04-04
"NJG 5",1,"NJG",368,34,27,7,0,0,0,0,0,1944-04-04
"NJG 6",1,"NJG",144,13,10,2,0,0,0,0,1,1944-04-04
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-04-04
"Schl.G 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-04
"Schl.G. 1",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-04
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-04
"SG 10",0,"JG",5,2,0,0,0,0,0,0,0,1944-04-04
"SG 2",0,"JG",81,9,6,1,0,0,0,0,0,1944-04-04
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1944-04-04
"SG 77",0,"JG",14,2,2,0,0,0,0,0,0,1944-04-04
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-04
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-04
"Sturmst. 1",0,"JG",31,8,1,0,0,0,0,0,0,1944-04-04
"ZG 1",1,"ZG",82,13,7,0,0,0,0,0,0,1944-04-04
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-04-04
"ZG 26",1,"ZG",113,20,10,0,0,0,0,0,0,1944-04-04
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-04-04
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-04-05
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-04-05
"Ind.St. Erla",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-05
"J.Gr. Süd",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-05
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-05
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-05
"JG 1",1,"JG",790,42,29,9,0,0,0,0,0,1944-04-05
"JG 104",0,"JG",27,1,1,1,0,0,0,0,0,1944-04-05
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-05
"JG 11",1,"JG",749,43,26,10,0,0,0,0,0,1944-04-05
"JG 2",1,"JG",725,54,37,12,0,0,0,0,0,1944-04-05
"JG 26",1,"JG",1082,51,37,18,0,0,0,0,0,1944-04-05
"JG 27",0,"JG",116,2,2,2,0,0,0,0,0,1944-04-05
"JG 27",1,"JG",782,70,47,8,0,0,0,0,0,1944-04-05
"JG 3",0,"JG",103,1,1,1,0,0,0,0,0,1944-04-05
"JG 3",1,"JG",1723,96,69,26,0,0,0,0,2,1944-04-05
"JG 300",1,"wilde_sau",110,26,6,1,0,0,0,0,0,1944-04-05
"JG 301",1,"wilde_sau",54,9,3,0,0,0,0,0,1,1944-04-05
"JG 302",1,"wilde_sau",32,9,1,0,0,0,0,0,1,1944-04-05
"JG 4",1,"JG",84,5,4,2,0,0,0,0,0,1944-04-05
"JG 5",0,"JG",568,53,32,6,0,0,0,0,0,1944-04-05
"JG 51",0,"JG",3308,151,122,51,0,0,1,0,11,1944-04-05
"JG 52",0,"JG",3074,106,81,36,1,0,0,0,5,1944-04-05
"JG 53",0,"JG",726,53,32,11,0,0,0,0,0,1944-04-05
"JG 53",1,"JG",139,17,9,1,0,0,0,0,0,1944-04-05
"JG 54",0,"JG",2493,98,74,30,0,0,0,0,4,1944-04-05
"JG 54",1,"JG",210,12,10,4,0,0,0,0,0,1944-04-05
"JG 77",0,"JG",1349,88,54,17,0,0,1,0,7,1944-04-05
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-04-05
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1944-04-05
"JGr. Ost",0,"JG",10,2,1,0,0,0,0,0,0,1944-04-05
"JGr. Süd",0,"JG",16,5,2,0,0,0,0,0,0,1944-04-05
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-05
"Kdo.Herr.",0,"JG",3,2,0,0,0,0,0,0,0,1944-04-05
"KG 40",0,"JG",11,3,1,0,0,0,0,0,0,1944-04-05
"LG 2",0,"JG",20,5,2,0,0,0,0,0,0,1944-04-05
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-05
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-04-05
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-04-05
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-04-05
"NAGr. 2",0,"JG",12,3,1,0,0,0,0,0,0,1944-04-05
"NAGr. 4",0,"JG",20,6,2,0,0,0,0,0,0,1944-04-05
"NAGr. 5",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-05
"NJG 1",1,"NJG",626,43,29,12,0,0,0,0,0,1944-04-05
"NJG 100",0,"NJG",110,21,14,0,1,0,0,0,3,1944-04-05
"NJG 101",0,"NJG",32,6,2,1,0,0,0,0,0,1944-04-05
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-04-05
"NJG 2",1,"NJG",211,24,13,3,0,0,0,0,0,1944-04-05
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-04-05
"NJG 3",1,"NJG",422,38,21,4,0,0,0,0,0,1944-04-05
"NJG 4",1,"NJG",239,18,12,3,0,0,0,0,0,1944-04-05
"NJG 5",1,"NJG",368,34,27,7,0,0,0,0,0,1944-04-05
"NJG 6",1,"NJG",144,13,10,2,0,0,0,0,0,1944-04-05
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-04-05
"Schl.G 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-05
"Schl.G. 1",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-05
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-05
"SG 10",0,"JG",5,2,0,0,0,0,0,0,0,1944-04-05
"SG 2",0,"JG",81,9,6,1,0,0,0,0,0,1944-04-05
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1944-04-05
"SG 77",0,"JG",14,2,2,0,0,0,0,0,0,1944-04-05
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-05
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-05
"Sturmst. 1",0,"JG",31,8,1,0,0,0,0,0,0,1944-04-05
"ZG 1",1,"ZG",82,13,7,0,0,0,0,0,0,1944-04-05
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-04-05
"ZG 26",1,"ZG",113,20,10,0,0,0,0,0,0,1944-04-05
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-04-05
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-04-06
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-04-06
"Ind.St. Erla",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-06
"J.Gr. Süd",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-06
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-06
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-06
"JG 1",1,"JG",790,42,29,9,0,0,0,0,0,1944-04-06
"JG 104",0,"JG",27,1,1,1,0,0,0,0,0,1944-04-06
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-06
"JG 11",1,"JG",749,43,26,10,0,0,0,0,0,1944-04-06
"JG 2",1,"JG",726,54,37,12,0,0,0,0,1,1944-04-06
"JG 26",1,"JG",1082,51,37,18,0,0,0,0,0,1944-04-06
"JG 27",0,"JG",88,1,1,1,0,0,0,0,0,1944-04-06
"JG 27",1,"JG",815,72,48,9,1,0,0,0,5,1944-04-06
"JG 3",0,"JG",103,1,1,1,0,0,0,0,0,1944-04-06
"JG 3",1,"JG",1723,96,69,26,0,0,0,0,0,1944-04-06
"JG 300",1,"wilde_sau",110,26,6,1,0,0,0,0,0,1944-04-06
"JG 301",1,"wilde_sau",54,9,3,0,0,0,0,0,0,1944-04-06
"JG 302",1,"wilde_sau",32,9,1,0,0,0,0,0,0,1944-04-06
"JG 4",1,"JG",84,5,4,2,0,0,0,0,0,1944-04-06
"JG 5",0,"JG",568,53,32,6,0,0,0,0,0,1944-04-06
"JG 51",0,"JG",3308,151,122,51,0,0,0,0,0,1944-04-06
"JG 52",0,"JG",3076,106,81,36,0,0,0,0,2,1944-04-06
"JG 53",0,"JG",726,53,32,11,0,0,0,0,0,1944-04-06
"JG 53",1,"JG",139,17,9,1,0,0,0,0,0,1944-04-06
"JG 54",0,"JG",2499,98,75,30,0,0,1,0,5,1944-04-06
"JG 54",1,"JG",210,12,10,4,0,0,0,0,0,1944-04-06
"JG 77",0,"JG",1349,88,54,17,0,0,0,0,0,1944-04-06
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-04-06
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1944-04-06
"JGr. Ost",0,"JG",10,2,1,0,0,0,0,0,0,1944-04-06
"JGr. Süd",0,"JG",16,5,2,0,0,0,0,0,0,1944-04-06
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-06
"Kdo.Herr.",0,"JG",3,2,0,0,0,0,0,0,0,1944-04-06
"KG 40",0,"JG",11,3,1,0,0,0,0,0,0,1944-04-06
"LG 2",0,"JG",20,5,2,0,0,0,0,0,0,1944-04-06
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-06
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-04-06
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-04-06
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-04-06
"NAGr. 2",0,"JG",12,3,1,0,0,0,0,0,0,1944-04-06
"NAGr. 4",0,"JG",20,6,2,0,0,0,0,0,0,1944-04-06
"NAGr. 5",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-06
"NJG 1",1,"NJG",626,43,29,12,0,0,0,0,0,1944-04-06
"NJG 100",0,"NJG",111,21,14,0,0,0,0,0,1,1944-04-06
"NJG 101",0,"NJG",32,6,2,1,0,0,0,0,0,1944-04-06
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-04-06
"NJG 2",1,"NJG",211,24,13,3,0,0,0,0,0,1944-04-06
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-04-06
"NJG 3",1,"NJG",422,38,21,4,0,0,0,0,0,1944-04-06
"NJG 4",1,"NJG",239,18,12,3,0,0,0,0,0,1944-04-06
"NJG 5",1,"NJG",368,34,27,7,0,0,0,0,0,1944-04-06
"NJG 6",1,"NJG",144,13,10,2,0,0,0,0,0,1944-04-06
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-04-06
"Schl.G 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-06
"Schl.G. 1",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-06
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-06
"SG 10",0,"JG",5,2,0,0,0,0,0,0,0,1944-04-06
"SG 2",0,"JG",81,9,6,1,0,0,0,0,0,1944-04-06
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1944-04-06
"SG 77",0,"JG",14,2,2,0,0,0,0,0,0,1944-04-06
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-06
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-06
"Sturmst. 1",0,"JG",31,8,1,0,0,0,0,0,0,1944-04-06
"ZG 1",1,"ZG",82,13,7,0,0,0,0,0,0,1944-04-06
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-04-06
"ZG 26",1,"ZG",113,20,10,0,0,0,0,0,0,1944-04-06
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-04-06
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-04-07
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-04-07
"Ind.St. Erla",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-07
"J.Gr. Süd",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-07
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-07
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-07
"JG 1",1,"JG",790,42,29,9,0,0,0,0,0,1944-04-07
"JG 104",0,"JG",27,1,1,1,0,0,0,0,0,1944-04-07
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-07
"JG 11",1,"JG",749,43,26,10,0,0,0,0,0,1944-04-07
"JG 2",1,"JG",726,54,37,12,0,0,0,0,0,1944-04-07
"JG 26",1,"JG",1082,51,37,18,0,0,0,0,0,1944-04-07
"JG 27",0,"JG",88,1,1,1,0,0,0,0,0,1944-04-07
"JG 27",1,"JG",815,72,48,9,0,0,0,0,0,1944-04-07
"JG 3",0,"JG",103,1,1,1,0,0,0,0,0,1944-04-07
"JG 3",1,"JG",1723,96,69,26,0,0,0,0,0,1944-04-07
"JG 300",1,"wilde_sau",110,26,6,1,0,0,0,0,0,1944-04-07
"JG 301",1,"wilde_sau",54,9,3,0,0,0,0,0,0,1944-04-07
"JG 302",1,"wilde_sau",32,9,1,0,0,0,0,0,0,1944-04-07
"JG 4",1,"JG",84,5,4,2,0,0,0,0,0,1944-04-07
"JG 5",0,"JG",578,54,32,6,1,0,0,0,5,1944-04-07
"JG 51",0,"JG",3315,151,122,51,0,0,0,0,5,1944-04-07
"JG 52",0,"JG",3093,107,82,36,1,0,1,0,8,1944-04-07
"JG 53",0,"JG",732,53,33,11,0,0,1,0,6,1944-04-07
"JG 53",1,"JG",139,17,9,1,0,0,0,0,0,1944-04-07
"JG 54",0,"JG",2523,99,76,30,0,1,0,1,4,1944-04-07
"JG 54",1,"JG",210,12,10,4,0,0,0,0,0,1944-04-07
"JG 77",0,"JG",1351,88,54,17,0,0,0,0,2,1944-04-07
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-04-07
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1944-04-07
"JGr. Ost",0,"JG",10,2,1,0,0,0,0,0,0,1944-04-07
"JGr. Süd",0,"JG",16,5,2,0,0,0,0,0,0,1944-04-07
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-07
"Kdo.Herr.",0,"JG",3,2,0,0,0,0,0,0,0,1944-04-07
"KG 40",0,"JG",11,3,1,0,0,0,0,0,0,1944-04-07
"LG 2",0,"JG",20,5,2,0,0,0,0,0,0,1944-04-07
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-07
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-04-07
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-04-07
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-04-07
"NAGr. 2",0,"JG",12,3,1,0,0,0,0,0,0,1944-04-07
"NAGr. 4",0,"JG",20,6,2,0,0,0,0,0,0,1944-04-07
"NAGr. 5",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-07
"NJG 1",1,"NJG",626,43,29,12,0,0,0,0,0,1944-04-07
"NJG 100",0,"NJG",123,22,15,0,0,0,0,0,3,1944-04-07
"NJG 101",0,"NJG",32,6,2,1,0,0,0,0,0,1944-04-07
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-04-07
"NJG 2",1,"NJG",203,23,12,3,0,0,0,0,0,1944-04-07
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-04-07
"NJG 3",1,"NJG",422,38,21,4,0,0,0,0,0,1944-04-07
"NJG 4",1,"NJG",239,18,12,3,0,0,0,0,0,1944-04-07
"NJG 5",1,"NJG",368,34,27,7,0,0,0,0,0,1944-04-07
"NJG 6",1,"NJG",130,12,9,2,0,0,0,0,0,1944-04-07
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-04-07
"Schl.G 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-07
"Schl.G. 1",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-07
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-07
"SG 10",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-07
"SG 2",0,"JG",81,9,6,1,0,0,0,0,0,1944-04-07
"SG 3",0,"JG",5,1,1,0,0,0,1,0,1,1944-04-07
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1944-04-07
"SG 77",0,"JG",14,2,2,0,0,0,0,0,0,1944-04-07
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-07
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-07
"Sturmst. 1",0,"JG",31,8,1,0,0,0,0,0,0,1944-04-07
"ZG 1",1,"ZG",82,13,7,0,0,0,0,0,0,1944-04-07
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-04-07
"ZG 26",1,"ZG",113,20,10,0,0,0,0,0,0,1944-04-07
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-04-07
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-04-08
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-04-08
"Ind.St. Erla",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-08
"J.Gr. Süd",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-08
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-08
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-08
"JG 1",1,"JG",847,46,32,10,1,0,1,0,12,1944-04-08
"JG 104",0,"JG",27,1,1,1,0,0,0,0,0,1944-04-08
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-08
"JG 11",1,"JG",757,44,26,10,1,1,0,1,7,1944-04-08
"JG 2",1,"JG",698,53,36,11,0,0,0,0,0,1944-04-08
"JG 26",1,"JG",1086,51,37,19,0,1,0,1,4,1944-04-08
"JG 27",0,"JG",88,1,1,1,0,0,0,0,0,1944-04-08
"JG 27",1,"JG",827,73,49,9,0,1,0,1,5,1944-04-08
"JG 3",0,"JG",103,1,1,1,0,0,0,0,0,1944-04-08
"JG 3",1,"JG",1738,97,72,26,0,0,2,0,7,1944-04-08
"JG 300",1,"wilde_sau",108,25,6,1,0,0,0,0,0,1944-04-08
"JG 301",1,"wilde_sau",54,9,3,0,0,1,0,1,0,1944-04-08
"JG 302",1,"wilde_sau",35,10,1,0,0,0,0,0,1,1944-04-08
"JG 4",1,"JG",84,5,4,2,0,0,0,0,0,1944-04-08
"JG 5",0,"JG",583,56,32,6,0,0,0,0,2,1944-04-08
"JG 51",0,"JG",3313,150,121,51,0,1,0,1,4,1944-04-08
"JG 52",0,"JG",3117,107,83,36,0,0,1,0,7,1944-04-08
"JG 53",0,"JG",733,53,33,11,0,1,0,1,1,1944-04-08
"JG 53",1,"JG",140,17,9,1,0,1,0,1,1,1944-04-08
"JG 54",0,"JG",2520,98,75,30,0,0,0,0,4,1944-04-08
"JG 54",1,"JG",197,11,9,4,0,0,0,0,1,1944-04-08
"JG 77",0,"JG",1350,87,54,17,0,0,0,0,0,1944-04-08
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-04-08
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1944-04-08
"JGr. Ost",0,"JG",10,2,1,0,0,0,0,0,0,1944-04-08
"JGr. Süd",0,"JG",9,3,1,0,0,0,0,0,0,1944-04-08
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-08
"Kdo.Herr.",0,"JG",3,2,0,0,0,0,0,0,0,1944-04-08
"KG 40",0,"JG",11,3,1,0,0,0,0,0,0,1944-04-08
"LG 2",0,"JG",20,5,2,0,0,0,0,0,0,1944-04-08
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-08
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-04-08
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-04-08
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-04-08
"NAGr. 2",0,"JG",13,3,1,0,0,0,0,0,1,1944-04-08
"NAGr. 4",0,"JG",23,6,3,0,0,0,0,0,1,1944-04-08
"NAGr. 5",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-08
"NJG 1",1,"NJG",626,43,29,12,0,0,0,0,0,1944-04-08
"NJG 100",0,"NJG",123,22,15,0,0,0,0,0,0,1944-04-08
"NJG 101",0,"NJG",32,6,2,1,0,0,0,0,0,1944-04-08
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-04-08
"NJG 2",1,"NJG",203,23,12,3,0,0,0,0,0,1944-04-08
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-04-08
"NJG 3",1,"NJG",422,38,21,4,0,0,0,0,0,1944-04-08
"NJG 4",1,"NJG",239,18,12,3,0,0,0,0,0,1944-04-08
"NJG 5",1,"NJG",368,34,27,7,0,0,0,0,0,1944-04-08
"NJG 6",1,"NJG",130,12,9,2,0,0,0,0,0,1944-04-08
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-04-08
"Schl.G 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-08
"Schl.G. 1",0,"JG",7,3,0,0,0,0,0,0,0,1944-04-08
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-08
"SG 10",0,"JG",1,1,0,0,0,0,0,0,0,1944-04-08
"SG 2",0,"JG",84,9,7,1,0,0,1,0,2,1944-04-08
"SG 3",0,"JG",5,1,1,0,0,0,0,0,0,1944-04-08
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1944-04-08
"SG 77",0,"JG",14,2,2,0,0,0,0,0,0,1944-04-08
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1944-04-08
"Sturmst. 1",0,"JG",33,8,2,0,0,0,1,0,2,1944-04-08
"ZG 1",1,"ZG",82,13,7,0,0,0,0,0,0,1944-04-08
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-04-08
"ZG 26",1,"ZG",113,20,10,0,0,0,0,0,0,1944-04-08
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-04-08
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-04-09
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-04-09
"Ind.St. Erla",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-09
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-09
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-04-09
"JG 1",1,"JG",860,47,32,10,1,0,0,0,9,1944-04-09
"JG 104",0,"JG",27,1,1,1,0,0,0,0,0,1944-04-09
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-04-09
"JG 11",1,"JG",683,45,26,9,1,1,1,1,8,1944-04-09
"JG 2",1,"JG",698,53,36,11,0,1,0,1,0,1944-04-09
"JG 26",1,"JG",1043,50,36,18,0,0,0,0,0,1944-04-09
"JG 27",0,"JG",88,1,1,1,0,0,0,0,0,1944-04-09
"JG 27",1,"JG",821,72,48,9,0,0,0,0,0,1944-04-09
"JG 3",0,"JG",103,1,1,1,0,0,0,0,0,1944-04-09
"JG 3",1,"JG",1745,98,73,26,1,0,1,0,5,1944-04-09
"JG 300",1,"wilde_sau",108,25,6,1,0,0,0,0,0,1944-04-09
"JG 301",1,"wilde_sau",41,8,2,0,0,0,0,0,0,1944-04-09
"JG 302",1,"wilde_sau",41,11,2,0,1,0,1,0,4,1944-04-09
"JG 4",1,"JG",84,5,4,2,0,0,0,0,0,1944-04-09
"JG 5",0,"JG",584,56,32,6,0,0,0,0,1,1944-04-09
"JG 51",0,"JG",3307,149,120,51,0,0,0,0,3,1944-04-09
"JG 52",0,"JG",3127,107,83,36,0,0,0,0,5,1944-04-09
"JG 53",0,"JG",709,52,32,10,0,0,0,0,0,1944-04-09
"JG 53",1,"JG",131,16,8,1,0,0,0,0,0,1944-04-09
"JG 54",0,"JG",2520,98,75,30,0,0,0,0,0,1944-04-09
"JG 54",1,"JG",198,12,9,4,1,0,0,0,1,1944-04-09
"JG 77",0,"JG",1350,87,54,17,0,0,0,0,0,1944-04-09
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-04-09
